Seed_ID,Raw_Row_ID,Claim_ID,Column_Name,Issue_Type,Severity,Original_Value,Corrected_Value,Resolution
SEED-00024,37904,CLM037904,Region,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
SEED-00025,72328,CLM072328,Region,Missing Region,High,<blank>,Eastern Cape,Restored from the valid Region_Key mapping
SEED-00026,24790,CLM024790,Region,Missing Region,High,<blank>,Eastern Cape,Restored from the valid Region_Key mapping
SEED-00027,58077,CLM058077,Region,Missing Region,High,<blank>,Western Cape,Restored from the valid Region_Key mapping
SEED-00028,24096,CLM024096,Region,Missing Region,High,<blank>,Eastern Cape,Restored from the valid Region_Key mapping
SEED-00029,23934,CLM023934,Region,Missing Region,High,<blank>,Limpopo,Restored from the valid Region_Key mapping
SEED-00030,63465,CLM063465,Region,Missing Region,High,<blank>,Eastern Cape,Restored from the valid Region_Key mapping
SEED-00031,2664,CLM002664,Region,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
SEED-00032,19664,CLM019664,Region,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
SEED-00033,68825,CLM068825,Region,Missing Region,High,<blank>,North West,Restored from the valid Region_Key mapping
SEED-00034,59210,CLM059210,Region,Missing Region,High,<blank>,Mpumalanga,Restored from the valid Region_Key mapping
SEED-00035,66601,CLM066601,Region,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
SEED-00036,7789,CLM007789,Region,Missing Region,High,<blank>,Northern Cape,Restored from the valid Region_Key mapping
SEED-00037,70722,CLM070722,Region,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
SEED-00038,27180,CLM027180,Region,Missing Region,High,<blank>,North West,Restored from the valid Region_Key mapping
SEED-00039,4231,CLM004231,Region,Missing Region,High,<blank>,Eastern Cape,Restored from the valid Region_Key mapping
SEED-00040,14944,CLM014944,Region,Missing Region,High,<blank>,Free State,Restored from the valid Region_Key mapping
SEED-00041,59237,CLM059237,Region,Missing Region,High,<blank>,Eastern Cape,Restored from the valid Region_Key mapping
SEED-00042,33827,CLM033827,Region,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
SEED-00043,11500,CLM011500,Region,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
SEED-00044,21391,CLM021391,Region,Missing Region,High,<blank>,Western Cape,Restored from the valid Region_Key mapping
SEED-00045,1896,CLM001896,Region,Missing Region,High,<blank>,Western Cape,Restored from the valid Region_Key mapping
SEED-00046,24851,CLM024851,Region,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
SEED-00047,41621,CLM041621,Region,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
SEED-00048,2560,CLM002560,Region,Missing Region,High,<blank>,KwaZulu-Natal,Restored from the valid Region_Key mapping
SEED-00049,12433,CLM012433,Region,Missing Region,High,<blank>,Western Cape,Restored from the valid Region_Key mapping
SEED-00050,4335,CLM004335,Region,Missing Region,High,<blank>,Eastern Cape,Restored from the valid Region_Key mapping
SEED-00051,11999,CLM011999,Region,Missing Region,High,<blank>,KwaZulu-Natal,Restored from the valid Region_Key mapping
SEED-00052,59207,CLM059207,Region,Missing Region,High,<blank>,Eastern Cape,Restored from the valid Region_Key mapping
SEED-00053,42482,CLM042482,Region,Missing Region,High,<blank>,Eastern Cape,Restored from the valid Region_Key mapping
SEED-00054,48381,CLM048381,Region,Missing Region,High,<blank>,Western Cape,Restored from the valid Region_Key mapping
SEED-00055,66670,CLM066670,Region,Missing Region,High,<blank>,Western Cape,Restored from the valid Region_Key mapping
SEED-00056,4089,CLM004089,Region,Missing Region,High,<blank>,Western Cape,Restored from the valid Region_Key mapping
SEED-00057,52668,CLM052668,Region,Missing Region,High,<blank>,North West,Restored from the valid Region_Key mapping
SEED-00058,41283,CLM041283,Region,Missing Region,High,<blank>,North West,Restored from the valid Region_Key mapping
SEED-00059,52481,CLM052481,Region,Missing Region,High,<blank>,Eastern Cape,Restored from the valid Region_Key mapping
SEED-00060,74264,CLM074264,Region,Missing Region,High,<blank>,KwaZulu-Natal,Restored from the valid Region_Key mapping
SEED-00061,27412,CLM027412,Region,Missing Region,High,<blank>,Limpopo,Restored from the valid Region_Key mapping
SEED-00062,30256,CLM030256,Region,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
SEED-00063,74647,CLM074647,Region,Missing Region,High,<blank>,Mpumalanga,Restored from the valid Region_Key mapping
SEED-00064,41067,CLM041067,Region,Missing Region,High,<blank>,Western Cape,Restored from the valid Region_Key mapping
SEED-00065,27509,CLM027509,Region,Missing Region,High,<blank>,KwaZulu-Natal,Restored from the valid Region_Key mapping
SEED-00066,31108,CLM031108,Region,Missing Region,High,<blank>,Eastern Cape,Restored from the valid Region_Key mapping
SEED-00067,31605,CLM031605,Region,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
SEED-00068,52996,CLM052996,Region,Missing Region,High,<blank>,North West,Restored from the valid Region_Key mapping
SEED-00069,26199,CLM026199,Region,Missing Region,High,<blank>,KwaZulu-Natal,Restored from the valid Region_Key mapping
SEED-00070,48721,CLM048721,Region,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
SEED-00071,50895,CLM050895,Region,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
SEED-00072,15264,CLM015264,Region,Missing Region,High,<blank>,Northern Cape,Restored from the valid Region_Key mapping
SEED-00073,52572,CLM052572,Region,Missing Region,High,<blank>,Western Cape,Restored from the valid Region_Key mapping
SEED-00074,53902,CLM053902,Region,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
SEED-00075,22440,CLM022440,Region,Missing Region,High,<blank>,KwaZulu-Natal,Restored from the valid Region_Key mapping
SEED-00076,6727,CLM006727,Region,Missing Region,High,<blank>,KwaZulu-Natal,Restored from the valid Region_Key mapping
SEED-00077,38353,CLM038353,Region,Missing Region,High,<blank>,KwaZulu-Natal,Restored from the valid Region_Key mapping
SEED-00078,30494,CLM030494,Region,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
SEED-00079,56666,CLM056666,Region,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
SEED-00080,21940,CLM021940,Region,Missing Region,High,<blank>,Western Cape,Restored from the valid Region_Key mapping
SEED-00081,23405,CLM023405,Region,Missing Region,High,<blank>,North West,Restored from the valid Region_Key mapping
SEED-00082,7368,CLM007368,Region,Missing Region,High,<blank>,Western Cape,Restored from the valid Region_Key mapping
SEED-00083,1403,CLM001403,Region,Missing Region,High,<blank>,KwaZulu-Natal,Restored from the valid Region_Key mapping
SEED-00084,56442,CLM056442,Region,Missing Region,High,<blank>,Mpumalanga,Restored from the valid Region_Key mapping
SEED-00085,35659,CLM035659,Region,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
SEED-00086,51613,CLM051613,Region,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
SEED-00087,25651,CLM025651,Region,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
SEED-00088,24830,CLM024830,Region,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
SEED-00089,58118,CLM058118,Region,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
SEED-00090,57787,CLM057787,Region,Missing Region,High,<blank>,Northern Cape,Restored from the valid Region_Key mapping
SEED-00091,43720,CLM043720,Region,Missing Region,High,<blank>,KwaZulu-Natal,Restored from the valid Region_Key mapping
SEED-00092,48057,CLM048057,Region,Missing Region,High,<blank>,KwaZulu-Natal,Restored from the valid Region_Key mapping
SEED-00093,35341,CLM035341,Region,Missing Region,High,<blank>,Limpopo,Restored from the valid Region_Key mapping
SEED-00094,1212,CLM001212,Region,Missing Region,High,<blank>,Mpumalanga,Restored from the valid Region_Key mapping
SEED-00095,30697,CLM030697,Region,Missing Region,High,<blank>,Western Cape,Restored from the valid Region_Key mapping
SEED-00096,67099,CLM067099,Region,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
SEED-00097,56107,CLM056107,Region,Missing Region,High,<blank>,Northern Cape,Restored from the valid Region_Key mapping
SEED-00098,19338,CLM019338,Region,Missing Region,High,<blank>,KwaZulu-Natal,Restored from the valid Region_Key mapping
SEED-00099,69986,CLM069986,Region,Missing Region,High,<blank>,Western Cape,Restored from the valid Region_Key mapping
SEED-00100,36003,CLM036003,Region,Missing Region,High,<blank>,KwaZulu-Natal,Restored from the valid Region_Key mapping
SEED-00101,66061,CLM066061,Region,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
SEED-00102,66871,CLM066871,Region,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
SEED-00103,23696,CLM023696,Region,Missing Region,High,<blank>,Northern Cape,Restored from the valid Region_Key mapping
SEED-00104,54024,CLM054024,Region,Missing Region,High,<blank>,Eastern Cape,Restored from the valid Region_Key mapping
SEED-00105,35161,CLM035161,Region,Missing Region,High,<blank>,Western Cape,Restored from the valid Region_Key mapping
SEED-00106,57791,CLM057791,Region,Missing Region,High,<blank>,Western Cape,Restored from the valid Region_Key mapping
SEED-00107,12003,CLM012003,Region,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
SEED-00108,9412,CLM009412,Region,Missing Region,High,<blank>,North West,Restored from the valid Region_Key mapping
SEED-00109,69252,CLM069252,Region,Missing Region,High,<blank>,KwaZulu-Natal,Restored from the valid Region_Key mapping
SEED-00110,24505,CLM024505,Region,Missing Region,High,<blank>,Western Cape,Restored from the valid Region_Key mapping
SEED-00111,57329,CLM057329,Region,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
SEED-00112,27587,CLM027587,Region,Missing Region,High,<blank>,Western Cape,Restored from the valid Region_Key mapping
SEED-00113,26159,CLM026159,Region,Missing Region,High,<blank>,Western Cape,Restored from the valid Region_Key mapping
SEED-00114,21293,CLM021293,Region,Missing Region,High,<blank>,Mpumalanga,Restored from the valid Region_Key mapping
SEED-00115,22086,CLM022086,Region,Missing Region,High,<blank>,North West,Restored from the valid Region_Key mapping
SEED-00116,1749,CLM001749,Region,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
SEED-00117,28234,CLM028234,Region,Missing Region,High,<blank>,Mpumalanga,Restored from the valid Region_Key mapping
SEED-00118,48534,CLM048534,Region,Missing Region,High,<blank>,Western Cape,Restored from the valid Region_Key mapping
SEED-00119,4366,CLM004366,Region,Missing Region,High,<blank>,Western Cape,Restored from the valid Region_Key mapping
SEED-00120,24162,CLM024162,Region,Missing Region,High,<blank>,Mpumalanga,Restored from the valid Region_Key mapping
SEED-00121,67501,CLM067501,Region,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
SEED-00122,69025,CLM069025,Region,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
SEED-00123,5597,CLM005597,Region,Missing Region,High,<blank>,KwaZulu-Natal,Restored from the valid Region_Key mapping
SEED-00124,74198,CLM074198,Region,Missing Region,High,<blank>,KwaZulu-Natal,Restored from the valid Region_Key mapping
SEED-00125,19173,CLM019173,Region,Missing Region,High,<blank>,KwaZulu-Natal,Restored from the valid Region_Key mapping
SEED-00126,14950,CLM014950,Region,Missing Region,High,<blank>,Mpumalanga,Restored from the valid Region_Key mapping
SEED-00127,51217,CLM051217,Region,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
SEED-00128,9144,CLM009144,Region,Missing Region,High,<blank>,North West,Restored from the valid Region_Key mapping
SEED-00129,8856,CLM008856,Region,Missing Region,High,<blank>,KwaZulu-Natal,Restored from the valid Region_Key mapping
SEED-00130,4208,CLM004208,Region,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
SEED-00131,63278,CLM063278,Region,Missing Region,High,<blank>,Eastern Cape,Restored from the valid Region_Key mapping
SEED-00132,14946,CLM014946,Region,Missing Region,High,<blank>,North West,Restored from the valid Region_Key mapping
SEED-00133,48619,CLM048619,Region,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
SEED-00134,50249,CLM050249,Region,Missing Region,High,<blank>,Mpumalanga,Restored from the valid Region_Key mapping
SEED-00135,59098,CLM059098,Region,Missing Region,High,<blank>,Mpumalanga,Restored from the valid Region_Key mapping
SEED-00136,63393,CLM063393,Region,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
SEED-00137,50024,CLM050024,Region,Missing Region,High,<blank>,Limpopo,Restored from the valid Region_Key mapping
SEED-00138,35395,CLM035395,Region,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
SEED-00139,74752,CLM074752,Region,Missing Region,High,<blank>,Eastern Cape,Restored from the valid Region_Key mapping
SEED-00140,34588,CLM034588,Region,Missing Region,High,<blank>,Western Cape,Restored from the valid Region_Key mapping
SEED-00141,15672,CLM015672,Region,Missing Region,High,<blank>,Western Cape,Restored from the valid Region_Key mapping
SEED-00142,55608,CLM055608,Region,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
SEED-00143,5056,CLM005056,Region,Missing Region,High,<blank>,North West,Restored from the valid Region_Key mapping
SEED-00144,59507,CLM059507,Region,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
SEED-00145,61380,CLM061380,Region,Missing Region,High,<blank>,Eastern Cape,Restored from the valid Region_Key mapping
SEED-00146,71481,CLM071481,Region,Missing Region,High,<blank>,Mpumalanga,Restored from the valid Region_Key mapping
SEED-00147,70672,CLM070672,Region,Missing Region,High,<blank>,Western Cape,Restored from the valid Region_Key mapping
SEED-00148,15559,CLM015559,Region,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
SEED-00149,54832,CLM054832,Region,Missing Region,High,<blank>,Western Cape,Restored from the valid Region_Key mapping
SEED-00150,33840,CLM033840,Region,Missing Region,High,<blank>,Limpopo,Restored from the valid Region_Key mapping
SEED-00151,62903,CLM062903,Region,Missing Region,High,<blank>,Free State,Restored from the valid Region_Key mapping
SEED-00152,55713,CLM055713,Region,Missing Region,High,<blank>,Eastern Cape,Restored from the valid Region_Key mapping
SEED-00153,67007,CLM067007,Region,Missing Region,High,<blank>,Eastern Cape,Restored from the valid Region_Key mapping
SEED-00154,61692,CLM061692,Region,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
SEED-00155,62382,CLM062382,Region,Missing Region,High,<blank>,KwaZulu-Natal,Restored from the valid Region_Key mapping
SEED-00156,39307,CLM039307,Region,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
SEED-00157,47206,CLM047206,Region,Missing Region,High,<blank>,Eastern Cape,Restored from the valid Region_Key mapping
SEED-00158,53861,CLM053861,Region,Missing Region,High,<blank>,KwaZulu-Natal,Restored from the valid Region_Key mapping
SEED-00159,29373,CLM029373,Region,Missing Region,High,<blank>,Mpumalanga,Restored from the valid Region_Key mapping
SEED-00160,35110,CLM035110,Region,Missing Region,High,<blank>,Limpopo,Restored from the valid Region_Key mapping
SEED-00161,74938,CLM074938,Region,Missing Region,High,<blank>,KwaZulu-Natal,Restored from the valid Region_Key mapping
SEED-00162,59937,CLM059937,Region,Missing Region,High,<blank>,Eastern Cape,Restored from the valid Region_Key mapping
SEED-00163,24340,CLM024340,Region,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
SEED-00164,14845,CLM014845,Region,Missing Region,High,<blank>,Mpumalanga,Restored from the valid Region_Key mapping
SEED-00165,44612,CLM044612,Region,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
SEED-00166,30406,CLM030406,Region,Missing Region,High,<blank>,Mpumalanga,Restored from the valid Region_Key mapping
SEED-00167,72694,CLM072694,Region,Missing Region,High,<blank>,North West,Restored from the valid Region_Key mapping
SEED-00168,55182,CLM055182,Region,Missing Region,High,<blank>,Western Cape,Restored from the valid Region_Key mapping
SEED-00169,60876,CLM060876,Region,Missing Region,High,<blank>,KwaZulu-Natal,Restored from the valid Region_Key mapping
SEED-00170,19345,CLM019345,Region,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
SEED-00171,53872,CLM053872,Region,Missing Region,High,<blank>,Limpopo,Restored from the valid Region_Key mapping
SEED-00172,70325,CLM070325,Region,Missing Region,High,<blank>,Mpumalanga,Restored from the valid Region_Key mapping
SEED-00173,7079,CLM007079,Region,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
SEED-00174,39315,CLM039315,Region,Missing Region,High,<blank>,Northern Cape,Restored from the valid Region_Key mapping
SEED-00175,11485,CLM011485,Region,Missing Region,High,<blank>,Eastern Cape,Restored from the valid Region_Key mapping
SEED-00176,67724,CLM067724,Region,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
SEED-00177,60908,CLM060908,Region,Missing Region,High,<blank>,Limpopo,Restored from the valid Region_Key mapping
SEED-00178,5948,CLM005948,Region,Missing Region,High,<blank>,KwaZulu-Natal,Restored from the valid Region_Key mapping
SEED-00179,11983,CLM011983,Region,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
SEED-00180,41638,CLM041638,Region,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
SEED-00181,26913,CLM026913,Region,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
SEED-00182,3122,CLM003122,Region,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
SEED-00183,74819,CLM074819,Region,Missing Region,High,<blank>,KwaZulu-Natal,Restored from the valid Region_Key mapping
SEED-00184,19945,CLM019945,Region,Missing Region,High,<blank>,KwaZulu-Natal,Restored from the valid Region_Key mapping
SEED-00185,16982,CLM016982,Region,Missing Region,High,<blank>,KwaZulu-Natal,Restored from the valid Region_Key mapping
SEED-00186,72080,CLM072080,Region,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
SEED-00187,8239,CLM008239,Region,Missing Region,High,<blank>,Mpumalanga,Restored from the valid Region_Key mapping
SEED-00188,10035,CLM010035,Region,Missing Region,High,<blank>,KwaZulu-Natal,Restored from the valid Region_Key mapping
SEED-00189,65860,CLM065860,Region,Missing Region,High,<blank>,KwaZulu-Natal,Restored from the valid Region_Key mapping
SEED-00190,10237,CLM010237,Region,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
SEED-00191,19940,CLM019940,Region,Missing Region,High,<blank>,Western Cape,Restored from the valid Region_Key mapping
SEED-00192,44502,CLM044502,Region,Missing Region,High,<blank>,Free State,Restored from the valid Region_Key mapping
SEED-00193,41503,CLM041503,Region,Missing Region,High,<blank>,Mpumalanga,Restored from the valid Region_Key mapping
SEED-00194,64527,CLM064527,Region,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
SEED-00195,30585,CLM030585,Region,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
SEED-00196,57776,CLM057776,Region,Missing Region,High,<blank>,Western Cape,Restored from the valid Region_Key mapping
SEED-00197,31050,CLM031050,Region,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
SEED-00198,63227,CLM063227,Region,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
SEED-00199,59743,CLM059743,Region,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
SEED-00200,16213,CLM016213,Region,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
SEED-00201,30635,CLM030635,Claim_Amount,Missing Claim Amount,Critical,<blank>,42456.2,Restored the deterministic source amount
SEED-00202,53102,CLM053102,Claim_Amount,Missing Claim Amount,Critical,<blank>,54074.98,Restored the deterministic source amount
SEED-00203,48247,CLM048247,Claim_Amount,Missing Claim Amount,Critical,<blank>,33304.39,Restored the deterministic source amount
SEED-00204,35805,CLM035805,Claim_Amount,Missing Claim Amount,Critical,<blank>,82078.36,Restored the deterministic source amount
SEED-00205,8497,CLM008497,Claim_Amount,Missing Claim Amount,Critical,<blank>,110701.15,Restored the deterministic source amount
SEED-00206,38685,CLM038685,Claim_Amount,Missing Claim Amount,Critical,<blank>,224108.56,Restored the deterministic source amount
SEED-00207,59112,CLM059112,Claim_Amount,Missing Claim Amount,Critical,<blank>,69482.51,Restored the deterministic source amount
SEED-00208,50588,CLM050588,Claim_Amount,Missing Claim Amount,Critical,<blank>,73117.66,Restored the deterministic source amount
SEED-00209,16678,CLM016678,Claim_Amount,Missing Claim Amount,Critical,<blank>,485562.17,Restored the deterministic source amount
SEED-00210,3258,CLM003258,Claim_Amount,Missing Claim Amount,Critical,<blank>,137521.77,Restored the deterministic source amount
SEED-00211,68715,CLM068715,Claim_Amount,Missing Claim Amount,Critical,<blank>,18838.97,Restored the deterministic source amount
SEED-00212,19596,CLM019596,Claim_Amount,Missing Claim Amount,Critical,<blank>,67899.2,Restored the deterministic source amount
SEED-00213,61649,CLM061649,Claim_Amount,Missing Claim Amount,Critical,<blank>,68961.3,Restored the deterministic source amount
SEED-00214,56211,CLM056211,Claim_Amount,Missing Claim Amount,Critical,<blank>,95555.13,Restored the deterministic source amount
SEED-00215,60934,CLM060934,Claim_Amount,Missing Claim Amount,Critical,<blank>,36897.35,Restored the deterministic source amount
SEED-00216,29653,CLM029653,Claim_Amount,Missing Claim Amount,Critical,<blank>,900172.54,Restored the deterministic source amount
SEED-00217,27193,CLM027193,Claim_Amount,Missing Claim Amount,Critical,<blank>,54022.47,Restored the deterministic source amount
SEED-00218,43817,CLM043817,Claim_Amount,Missing Claim Amount,Critical,<blank>,7743.86,Restored the deterministic source amount
SEED-00219,54864,CLM054864,Claim_Amount,Missing Claim Amount,Critical,<blank>,82455.39,Restored the deterministic source amount
SEED-00220,57443,CLM057443,Claim_Amount,Missing Claim Amount,Critical,<blank>,35770.32,Restored the deterministic source amount
SEED-00221,39126,CLM039126,Claim_Amount,Missing Claim Amount,Critical,<blank>,23477.13,Restored the deterministic source amount
SEED-00222,59921,CLM059921,Claim_Amount,Missing Claim Amount,Critical,<blank>,27579.15,Restored the deterministic source amount
SEED-00223,69417,CLM069417,Claim_Amount,Missing Claim Amount,Critical,<blank>,170713.61,Restored the deterministic source amount
SEED-00224,62769,CLM062769,Claim_Amount,Missing Claim Amount,Critical,<blank>,100846.08,Restored the deterministic source amount
SEED-00225,48479,CLM048479,Claim_Amount,Missing Claim Amount,Critical,<blank>,204653.62,Restored the deterministic source amount
SEED-00226,42571,CLM042571,Claim_Amount,Missing Claim Amount,Critical,<blank>,23241.15,Restored the deterministic source amount
SEED-00227,65631,CLM065631,Claim_Amount,Missing Claim Amount,Critical,<blank>,271525.59,Restored the deterministic source amount
SEED-00228,61671,CLM061671,Claim_Amount,Missing Claim Amount,Critical,<blank>,59443.64,Restored the deterministic source amount
SEED-00229,71990,CLM071990,Claim_Amount,Missing Claim Amount,Critical,<blank>,47558.05,Restored the deterministic source amount
SEED-00230,67849,CLM067849,Claim_Amount,Missing Claim Amount,Critical,<blank>,16696.81,Restored the deterministic source amount
SEED-00231,60818,CLM060818,Claim_Amount,Missing Claim Amount,Critical,<blank>,166145.07,Restored the deterministic source amount
SEED-00232,16165,CLM016165,Claim_Amount,Missing Claim Amount,Critical,<blank>,21529.1,Restored the deterministic source amount
SEED-00233,18842,CLM018842,Claim_Amount,Missing Claim Amount,Critical,<blank>,18254.24,Restored the deterministic source amount
SEED-00234,65040,CLM065040,Claim_Amount,Missing Claim Amount,Critical,<blank>,81342.77,Restored the deterministic source amount
SEED-00235,25915,CLM025915,Claim_Amount,Missing Claim Amount,Critical,<blank>,66412.65,Restored the deterministic source amount
SEED-00236,35156,CLM035156,Claim_Amount,Missing Claim Amount,Critical,<blank>,64250.99,Restored the deterministic source amount
SEED-00237,47999,CLM047999,Claim_Amount,Missing Claim Amount,Critical,<blank>,37872.96,Restored the deterministic source amount
SEED-00238,59944,CLM059944,Claim_Amount,Missing Claim Amount,Critical,<blank>,86884.13,Restored the deterministic source amount
SEED-00239,37337,CLM037337,Claim_Amount,Missing Claim Amount,Critical,<blank>,286772.46,Restored the deterministic source amount
SEED-00240,42477,CLM042477,Claim_Amount,Missing Claim Amount,Critical,<blank>,39365.42,Restored the deterministic source amount
SEED-00241,44310,CLM044310,Claim_Amount,Missing Claim Amount,Critical,<blank>,106320.34,Restored the deterministic source amount
SEED-00242,20515,CLM020515,Claim_Amount,Missing Claim Amount,Critical,<blank>,91116.19,Restored the deterministic source amount
SEED-00243,15434,CLM015434,Claim_Amount,Missing Claim Amount,Critical,<blank>,195049.22,Restored the deterministic source amount
SEED-00244,5557,CLM005557,Claim_Amount,Missing Claim Amount,Critical,<blank>,198360.61,Restored the deterministic source amount
SEED-00245,58686,CLM058686,Claim_Amount,Missing Claim Amount,Critical,<blank>,50340.92,Restored the deterministic source amount
SEED-00246,67974,CLM067974,Claim_Amount,Missing Claim Amount,Critical,<blank>,29845.85,Restored the deterministic source amount
SEED-00247,12078,CLM012078,Claim_Amount,Missing Claim Amount,Critical,<blank>,115560.58,Restored the deterministic source amount
SEED-00248,18656,CLM018656,Claim_Amount,Missing Claim Amount,Critical,<blank>,142806.12,Restored the deterministic source amount
