Issue_ID,Claim_ID,Issue_Type,Severity,Original_Value,Corrected_Value,Resolution
DQ-00028,CLM024096,Missing Region,High,<blank>,Eastern Cape,Restored from the valid Region_Key mapping
DQ-00029,CLM023934,Missing Region,High,<blank>,Limpopo,Restored from the valid Region_Key mapping
DQ-00030,CLM063465,Missing Region,High,<blank>,Eastern Cape,Restored from the valid Region_Key mapping
DQ-00031,CLM002664,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
DQ-00032,CLM019664,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
DQ-00033,CLM068825,Missing Region,High,<blank>,North West,Restored from the valid Region_Key mapping
DQ-00034,CLM059210,Missing Region,High,<blank>,Mpumalanga,Restored from the valid Region_Key mapping
DQ-00035,CLM066601,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
DQ-00036,CLM007789,Missing Region,High,<blank>,Northern Cape,Restored from the valid Region_Key mapping
DQ-00037,CLM070722,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
DQ-00038,CLM027180,Missing Region,High,<blank>,North West,Restored from the valid Region_Key mapping
DQ-00039,CLM004231,Missing Region,High,<blank>,Eastern Cape,Restored from the valid Region_Key mapping
DQ-00040,CLM014944,Missing Region,High,<blank>,Free State,Restored from the valid Region_Key mapping
DQ-00041,CLM059237,Missing Region,High,<blank>,Eastern Cape,Restored from the valid Region_Key mapping
DQ-00042,CLM033827,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
DQ-00043,CLM011500,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
DQ-00044,CLM021391,Missing Region,High,<blank>,Western Cape,Restored from the valid Region_Key mapping
DQ-00045,CLM001896,Missing Region,High,<blank>,Western Cape,Restored from the valid Region_Key mapping
DQ-00046,CLM024851,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
DQ-00047,CLM041621,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
DQ-00048,CLM002560,Missing Region,High,<blank>,KwaZulu-Natal,Restored from the valid Region_Key mapping
DQ-00049,CLM012433,Missing Region,High,<blank>,Western Cape,Restored from the valid Region_Key mapping
DQ-00050,CLM004335,Missing Region,High,<blank>,Eastern Cape,Restored from the valid Region_Key mapping
DQ-00051,CLM011999,Missing Region,High,<blank>,KwaZulu-Natal,Restored from the valid Region_Key mapping
DQ-00052,CLM059207,Missing Region,High,<blank>,Eastern Cape,Restored from the valid Region_Key mapping
DQ-00053,CLM042482,Missing Region,High,<blank>,Eastern Cape,Restored from the valid Region_Key mapping
DQ-00054,CLM048381,Missing Region,High,<blank>,Western Cape,Restored from the valid Region_Key mapping
DQ-00055,CLM066670,Missing Region,High,<blank>,Western Cape,Restored from the valid Region_Key mapping
DQ-00056,CLM004089,Missing Region,High,<blank>,Western Cape,Restored from the valid Region_Key mapping
DQ-00057,CLM052668,Missing Region,High,<blank>,North West,Restored from the valid Region_Key mapping
DQ-00058,CLM041283,Missing Region,High,<blank>,North West,Restored from the valid Region_Key mapping
DQ-00059,CLM052481,Missing Region,High,<blank>,Eastern Cape,Restored from the valid Region_Key mapping
DQ-00060,CLM074264,Missing Region,High,<blank>,KwaZulu-Natal,Restored from the valid Region_Key mapping
DQ-00061,CLM027412,Missing Region,High,<blank>,Limpopo,Restored from the valid Region_Key mapping
DQ-00062,CLM030256,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
DQ-00063,CLM074647,Missing Region,High,<blank>,Mpumalanga,Restored from the valid Region_Key mapping
DQ-00064,CLM041067,Missing Region,High,<blank>,Western Cape,Restored from the valid Region_Key mapping
DQ-00065,CLM027509,Missing Region,High,<blank>,KwaZulu-Natal,Restored from the valid Region_Key mapping
DQ-00066,CLM031108,Missing Region,High,<blank>,Eastern Cape,Restored from the valid Region_Key mapping
DQ-00067,CLM031605,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
DQ-00068,CLM052996,Missing Region,High,<blank>,North West,Restored from the valid Region_Key mapping
DQ-00069,CLM026199,Missing Region,High,<blank>,KwaZulu-Natal,Restored from the valid Region_Key mapping
DQ-00070,CLM048721,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
DQ-00071,CLM050895,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
DQ-00072,CLM015264,Missing Region,High,<blank>,Northern Cape,Restored from the valid Region_Key mapping
DQ-00073,CLM052572,Missing Region,High,<blank>,Western Cape,Restored from the valid Region_Key mapping
DQ-00074,CLM053902,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
DQ-00075,CLM022440,Missing Region,High,<blank>,KwaZulu-Natal,Restored from the valid Region_Key mapping
DQ-00076,CLM006727,Missing Region,High,<blank>,KwaZulu-Natal,Restored from the valid Region_Key mapping
DQ-00077,CLM038353,Missing Region,High,<blank>,KwaZulu-Natal,Restored from the valid Region_Key mapping
DQ-00078,CLM030494,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
DQ-00079,CLM056666,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
DQ-00080,CLM021940,Missing Region,High,<blank>,Western Cape,Restored from the valid Region_Key mapping
DQ-00081,CLM023405,Missing Region,High,<blank>,North West,Restored from the valid Region_Key mapping
DQ-00082,CLM007368,Missing Region,High,<blank>,Western Cape,Restored from the valid Region_Key mapping
DQ-00083,CLM001403,Missing Region,High,<blank>,KwaZulu-Natal,Restored from the valid Region_Key mapping
DQ-00084,CLM056442,Missing Region,High,<blank>,Mpumalanga,Restored from the valid Region_Key mapping
DQ-00085,CLM035659,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
DQ-00086,CLM051613,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
DQ-00087,CLM025651,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
DQ-00088,CLM024830,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
DQ-00089,CLM058118,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
DQ-00090,CLM057787,Missing Region,High,<blank>,Northern Cape,Restored from the valid Region_Key mapping
DQ-00091,CLM043720,Missing Region,High,<blank>,KwaZulu-Natal,Restored from the valid Region_Key mapping
DQ-00092,CLM048057,Missing Region,High,<blank>,KwaZulu-Natal,Restored from the valid Region_Key mapping
DQ-00093,CLM035341,Missing Region,High,<blank>,Limpopo,Restored from the valid Region_Key mapping
DQ-00094,CLM001212,Missing Region,High,<blank>,Mpumalanga,Restored from the valid Region_Key mapping
DQ-00095,CLM030697,Missing Region,High,<blank>,Western Cape,Restored from the valid Region_Key mapping
DQ-00096,CLM067099,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
DQ-00097,CLM056107,Missing Region,High,<blank>,Northern Cape,Restored from the valid Region_Key mapping
DQ-00098,CLM019338,Missing Region,High,<blank>,KwaZulu-Natal,Restored from the valid Region_Key mapping
DQ-00099,CLM069986,Missing Region,High,<blank>,Western Cape,Restored from the valid Region_Key mapping
DQ-00100,CLM036003,Missing Region,High,<blank>,KwaZulu-Natal,Restored from the valid Region_Key mapping
DQ-00101,CLM066061,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
DQ-00102,CLM066871,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
DQ-00103,CLM023696,Missing Region,High,<blank>,Northern Cape,Restored from the valid Region_Key mapping
DQ-00104,CLM054024,Missing Region,High,<blank>,Eastern Cape,Restored from the valid Region_Key mapping
DQ-00105,CLM035161,Missing Region,High,<blank>,Western Cape,Restored from the valid Region_Key mapping
DQ-00106,CLM057791,Missing Region,High,<blank>,Western Cape,Restored from the valid Region_Key mapping
DQ-00107,CLM012003,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
DQ-00108,CLM009412,Missing Region,High,<blank>,North West,Restored from the valid Region_Key mapping
DQ-00109,CLM069252,Missing Region,High,<blank>,KwaZulu-Natal,Restored from the valid Region_Key mapping
DQ-00110,CLM024505,Missing Region,High,<blank>,Western Cape,Restored from the valid Region_Key mapping
DQ-00111,CLM057329,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
DQ-00112,CLM027587,Missing Region,High,<blank>,Western Cape,Restored from the valid Region_Key mapping
DQ-00113,CLM026159,Missing Region,High,<blank>,Western Cape,Restored from the valid Region_Key mapping
DQ-00114,CLM021293,Missing Region,High,<blank>,Mpumalanga,Restored from the valid Region_Key mapping
DQ-00115,CLM022086,Missing Region,High,<blank>,North West,Restored from the valid Region_Key mapping
DQ-00116,CLM001749,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
DQ-00117,CLM028234,Missing Region,High,<blank>,Mpumalanga,Restored from the valid Region_Key mapping
DQ-00118,CLM048534,Missing Region,High,<blank>,Western Cape,Restored from the valid Region_Key mapping
DQ-00119,CLM004366,Missing Region,High,<blank>,Western Cape,Restored from the valid Region_Key mapping
DQ-00120,CLM024162,Missing Region,High,<blank>,Mpumalanga,Restored from the valid Region_Key mapping
DQ-00121,CLM067501,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
DQ-00122,CLM069025,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
DQ-00123,CLM005597,Missing Region,High,<blank>,KwaZulu-Natal,Restored from the valid Region_Key mapping
DQ-00124,CLM074198,Missing Region,High,<blank>,KwaZulu-Natal,Restored from the valid Region_Key mapping
DQ-00125,CLM019173,Missing Region,High,<blank>,KwaZulu-Natal,Restored from the valid Region_Key mapping
DQ-00126,CLM014950,Missing Region,High,<blank>,Mpumalanga,Restored from the valid Region_Key mapping
DQ-00127,CLM051217,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
DQ-00128,CLM009144,Missing Region,High,<blank>,North West,Restored from the valid Region_Key mapping
DQ-00129,CLM008856,Missing Region,High,<blank>,KwaZulu-Natal,Restored from the valid Region_Key mapping
DQ-00130,CLM004208,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
DQ-00131,CLM063278,Missing Region,High,<blank>,Eastern Cape,Restored from the valid Region_Key mapping
DQ-00132,CLM014946,Missing Region,High,<blank>,North West,Restored from the valid Region_Key mapping
DQ-00133,CLM048619,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
DQ-00134,CLM050249,Missing Region,High,<blank>,Mpumalanga,Restored from the valid Region_Key mapping
DQ-00135,CLM059098,Missing Region,High,<blank>,Mpumalanga,Restored from the valid Region_Key mapping
DQ-00136,CLM063393,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
DQ-00137,CLM050024,Missing Region,High,<blank>,Limpopo,Restored from the valid Region_Key mapping
DQ-00138,CLM035395,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
DQ-00139,CLM074752,Missing Region,High,<blank>,Eastern Cape,Restored from the valid Region_Key mapping
DQ-00140,CLM034588,Missing Region,High,<blank>,Western Cape,Restored from the valid Region_Key mapping
DQ-00141,CLM015672,Missing Region,High,<blank>,Western Cape,Restored from the valid Region_Key mapping
DQ-00142,CLM055608,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
DQ-00143,CLM005056,Missing Region,High,<blank>,North West,Restored from the valid Region_Key mapping
DQ-00144,CLM059507,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
DQ-00145,CLM061380,Missing Region,High,<blank>,Eastern Cape,Restored from the valid Region_Key mapping
DQ-00146,CLM071481,Missing Region,High,<blank>,Mpumalanga,Restored from the valid Region_Key mapping
DQ-00147,CLM070672,Missing Region,High,<blank>,Western Cape,Restored from the valid Region_Key mapping
DQ-00148,CLM015559,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
DQ-00149,CLM054832,Missing Region,High,<blank>,Western Cape,Restored from the valid Region_Key mapping
DQ-00150,CLM033840,Missing Region,High,<blank>,Limpopo,Restored from the valid Region_Key mapping
DQ-00151,CLM062903,Missing Region,High,<blank>,Free State,Restored from the valid Region_Key mapping
DQ-00152,CLM055713,Missing Region,High,<blank>,Eastern Cape,Restored from the valid Region_Key mapping
DQ-00153,CLM067007,Missing Region,High,<blank>,Eastern Cape,Restored from the valid Region_Key mapping
DQ-00154,CLM061692,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
DQ-00155,CLM062382,Missing Region,High,<blank>,KwaZulu-Natal,Restored from the valid Region_Key mapping
DQ-00156,CLM039307,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
DQ-00157,CLM047206,Missing Region,High,<blank>,Eastern Cape,Restored from the valid Region_Key mapping
DQ-00158,CLM053861,Missing Region,High,<blank>,KwaZulu-Natal,Restored from the valid Region_Key mapping
DQ-00159,CLM029373,Missing Region,High,<blank>,Mpumalanga,Restored from the valid Region_Key mapping
DQ-00160,CLM035110,Missing Region,High,<blank>,Limpopo,Restored from the valid Region_Key mapping
DQ-00161,CLM074938,Missing Region,High,<blank>,KwaZulu-Natal,Restored from the valid Region_Key mapping
DQ-00162,CLM059937,Missing Region,High,<blank>,Eastern Cape,Restored from the valid Region_Key mapping
DQ-00163,CLM024340,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
DQ-00164,CLM014845,Missing Region,High,<blank>,Mpumalanga,Restored from the valid Region_Key mapping
DQ-00165,CLM044612,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
DQ-00166,CLM030406,Missing Region,High,<blank>,Mpumalanga,Restored from the valid Region_Key mapping
DQ-00167,CLM072694,Missing Region,High,<blank>,North West,Restored from the valid Region_Key mapping
DQ-00168,CLM055182,Missing Region,High,<blank>,Western Cape,Restored from the valid Region_Key mapping
DQ-00169,CLM060876,Missing Region,High,<blank>,KwaZulu-Natal,Restored from the valid Region_Key mapping
DQ-00170,CLM019345,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
DQ-00171,CLM053872,Missing Region,High,<blank>,Limpopo,Restored from the valid Region_Key mapping
DQ-00172,CLM070325,Missing Region,High,<blank>,Mpumalanga,Restored from the valid Region_Key mapping
DQ-00173,CLM007079,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
DQ-00174,CLM039315,Missing Region,High,<blank>,Northern Cape,Restored from the valid Region_Key mapping
DQ-00175,CLM011485,Missing Region,High,<blank>,Eastern Cape,Restored from the valid Region_Key mapping
DQ-00176,CLM067724,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
DQ-00177,CLM060908,Missing Region,High,<blank>,Limpopo,Restored from the valid Region_Key mapping
DQ-00178,CLM005948,Missing Region,High,<blank>,KwaZulu-Natal,Restored from the valid Region_Key mapping
DQ-00179,CLM011983,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
DQ-00180,CLM041638,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
DQ-00181,CLM026913,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
DQ-00182,CLM003122,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
DQ-00183,CLM074819,Missing Region,High,<blank>,KwaZulu-Natal,Restored from the valid Region_Key mapping
DQ-00184,CLM019945,Missing Region,High,<blank>,KwaZulu-Natal,Restored from the valid Region_Key mapping
DQ-00185,CLM016982,Missing Region,High,<blank>,KwaZulu-Natal,Restored from the valid Region_Key mapping
DQ-00186,CLM072080,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
DQ-00187,CLM008239,Missing Region,High,<blank>,Mpumalanga,Restored from the valid Region_Key mapping
DQ-00188,CLM010035,Missing Region,High,<blank>,KwaZulu-Natal,Restored from the valid Region_Key mapping
DQ-00189,CLM065860,Missing Region,High,<blank>,KwaZulu-Natal,Restored from the valid Region_Key mapping
DQ-00190,CLM010237,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
DQ-00191,CLM019940,Missing Region,High,<blank>,Western Cape,Restored from the valid Region_Key mapping
DQ-00192,CLM044502,Missing Region,High,<blank>,Free State,Restored from the valid Region_Key mapping
DQ-00193,CLM041503,Missing Region,High,<blank>,Mpumalanga,Restored from the valid Region_Key mapping
DQ-00194,CLM064527,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
DQ-00195,CLM030585,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
DQ-00196,CLM057776,Missing Region,High,<blank>,Western Cape,Restored from the valid Region_Key mapping
DQ-00197,CLM031050,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
DQ-00198,CLM063227,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
DQ-00199,CLM059743,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
DQ-00200,CLM016213,Missing Region,High,<blank>,Gauteng,Restored from the valid Region_Key mapping
DQ-00201,CLM030635,Missing Claim Amount,Critical,<blank>,42456.2,Restored the deterministic source amount
DQ-00202,CLM053102,Missing Claim Amount,Critical,<blank>,54074.98,Restored the deterministic source amount
DQ-00203,CLM048247,Missing Claim Amount,Critical,<blank>,33304.39,Restored the deterministic source amount
DQ-00204,CLM035805,Missing Claim Amount,Critical,<blank>,82078.36,Restored the deterministic source amount
DQ-00205,CLM008497,Missing Claim Amount,Critical,<blank>,110701.15,Restored the deterministic source amount
DQ-00206,CLM038685,Missing Claim Amount,Critical,<blank>,224108.56,Restored the deterministic source amount
DQ-00207,CLM059112,Missing Claim Amount,Critical,<blank>,69482.51,Restored the deterministic source amount
DQ-00208,CLM050588,Missing Claim Amount,Critical,<blank>,73117.66,Restored the deterministic source amount
DQ-00209,CLM016678,Missing Claim Amount,Critical,<blank>,485562.17,Restored the deterministic source amount
DQ-00210,CLM003258,Missing Claim Amount,Critical,<blank>,137521.77,Restored the deterministic source amount
DQ-00211,CLM068715,Missing Claim Amount,Critical,<blank>,18838.97,Restored the deterministic source amount
DQ-00212,CLM019596,Missing Claim Amount,Critical,<blank>,67899.2,Restored the deterministic source amount
DQ-00213,CLM061649,Missing Claim Amount,Critical,<blank>,68961.3,Restored the deterministic source amount
DQ-00214,CLM056211,Missing Claim Amount,Critical,<blank>,95555.13,Restored the deterministic source amount
DQ-00215,CLM060934,Missing Claim Amount,Critical,<blank>,36897.35,Restored the deterministic source amount
DQ-00216,CLM029653,Missing Claim Amount,Critical,<blank>,900172.54,Restored the deterministic source amount
DQ-00217,CLM027193,Missing Claim Amount,Critical,<blank>,54022.47,Restored the deterministic source amount
DQ-00218,CLM043817,Missing Claim Amount,Critical,<blank>,7743.86,Restored the deterministic source amount
DQ-00219,CLM054864,Missing Claim Amount,Critical,<blank>,82455.39,Restored the deterministic source amount
DQ-00220,CLM057443,Missing Claim Amount,Critical,<blank>,35770.32,Restored the deterministic source amount
DQ-00221,CLM039126,Missing Claim Amount,Critical,<blank>,23477.13,Restored the deterministic source amount
DQ-00222,CLM059921,Missing Claim Amount,Critical,<blank>,27579.15,Restored the deterministic source amount
DQ-00223,CLM069417,Missing Claim Amount,Critical,<blank>,170713.61,Restored the deterministic source amount
DQ-00224,CLM062769,Missing Claim Amount,Critical,<blank>,100846.08,Restored the deterministic source amount
DQ-00225,CLM048479,Missing Claim Amount,Critical,<blank>,204653.62,Restored the deterministic source amount
DQ-00226,CLM042571,Missing Claim Amount,Critical,<blank>,23241.15,Restored the deterministic source amount
DQ-00227,CLM065631,Missing Claim Amount,Critical,<blank>,271525.59,Restored the deterministic source amount
DQ-00228,CLM061671,Missing Claim Amount,Critical,<blank>,59443.64,Restored the deterministic source amount
DQ-00229,CLM071990,Missing Claim Amount,Critical,<blank>,47558.05,Restored the deterministic source amount
DQ-00230,CLM067849,Missing Claim Amount,Critical,<blank>,16696.81,Restored the deterministic source amount
DQ-00231,CLM060818,Missing Claim Amount,Critical,<blank>,166145.07,Restored the deterministic source amount
DQ-00232,CLM016165,Missing Claim Amount,Critical,<blank>,21529.1,Restored the deterministic source amount
DQ-00233,CLM018842,Missing Claim Amount,Critical,<blank>,18254.24,Restored the deterministic source amount
DQ-00234,CLM065040,Missing Claim Amount,Critical,<blank>,81342.77,Restored the deterministic source amount
DQ-00235,CLM025915,Missing Claim Amount,Critical,<blank>,66412.65,Restored the deterministic source amount
DQ-00236,CLM035156,Missing Claim Amount,Critical,<blank>,64250.99,Restored the deterministic source amount
DQ-00237,CLM047999,Missing Claim Amount,Critical,<blank>,37872.96,Restored the deterministic source amount
DQ-00238,CLM059944,Missing Claim Amount,Critical,<blank>,86884.13,Restored the deterministic source amount
DQ-00239,CLM037337,Missing Claim Amount,Critical,<blank>,286772.46,Restored the deterministic source amount
DQ-00240,CLM042477,Missing Claim Amount,Critical,<blank>,39365.42,Restored the deterministic source amount
DQ-00241,CLM044310,Missing Claim Amount,Critical,<blank>,106320.34,Restored the deterministic source amount
DQ-00242,CLM020515,Missing Claim Amount,Critical,<blank>,91116.19,Restored the deterministic source amount
DQ-00243,CLM015434,Missing Claim Amount,Critical,<blank>,195049.22,Restored the deterministic source amount
DQ-00244,CLM005557,Missing Claim Amount,Critical,<blank>,198360.61,Restored the deterministic source amount
DQ-00245,CLM058686,Missing Claim Amount,Critical,<blank>,50340.92,Restored the deterministic source amount
DQ-00246,CLM067974,Missing Claim Amount,Critical,<blank>,29845.85,Restored the deterministic source amount
DQ-00247,CLM012078,Missing Claim Amount,Critical,<blank>,115560.58,Restored the deterministic source amount
DQ-00248,CLM018656,Missing Claim Amount,Critical,<blank>,142806.12,Restored the deterministic source amount
DQ-00249,CLM018111,Missing Claim Amount,Critical,<blank>,161249.03,Restored the deterministic source amount
DQ-00250,CLM041772,Missing Claim Amount,Critical,<blank>,181813.23,Restored the deterministic source amount
DQ-00251,CLM072706,Missing Claim Amount,Critical,<blank>,39004.39,Restored the deterministic source amount
DQ-00252,CLM002067,Missing Claim Amount,Critical,<blank>,62047.84,Restored the deterministic source amount
DQ-00253,CLM056603,Missing Claim Amount,Critical,<blank>,168651.0,Restored the deterministic source amount
DQ-00254,CLM055028,Missing Claim Amount,Critical,<blank>,452202.59,Restored the deterministic source amount
DQ-00255,CLM074834,Missing Claim Amount,Critical,<blank>,131423.65,Restored the deterministic source amount
DQ-00256,CLM008728,Missing Claim Amount,Critical,<blank>,668623.08,Restored the deterministic source amount
DQ-00257,CLM072853,Missing Claim Amount,Critical,<blank>,194060.76,Restored the deterministic source amount
DQ-00258,CLM016518,Missing Claim Amount,Critical,<blank>,23145.29,Restored the deterministic source amount
DQ-00259,CLM003281,Missing Claim Amount,Critical,<blank>,119042.48,Restored the deterministic source amount
DQ-00260,CLM072494,Missing Claim Amount,Critical,<blank>,26658.7,Restored the deterministic source amount
DQ-00261,CLM068064,Missing Claim Amount,Critical,<blank>,55140.04,Restored the deterministic source amount
DQ-00262,CLM071068,Missing Claim Amount,Critical,<blank>,18975.09,Restored the deterministic source amount
DQ-00263,CLM065954,Missing Claim Amount,Critical,<blank>,11937.77,Restored the deterministic source amount
DQ-00264,CLM016047,Missing Claim Amount,Critical,<blank>,89883.1,Restored the deterministic source amount
DQ-00265,CLM062807,Missing Claim Amount,Critical,<blank>,171840.2,Restored the deterministic source amount
DQ-00266,CLM056195,Missing Claim Amount,Critical,<blank>,115924.98,Restored the deterministic source amount
DQ-00267,CLM012465,Missing Claim Amount,Critical,<blank>,165240.68,Restored the deterministic source amount
DQ-00268,CLM039731,Missing Claim Amount,Critical,<blank>,126543.57,Restored the deterministic source amount
DQ-00269,CLM025617,Missing Claim Amount,Critical,<blank>,92751.69,Restored the deterministic source amount
DQ-00270,CLM017780,Missing Claim Amount,Critical,<blank>,69161.81,Restored the deterministic source amount
DQ-00271,CLM050739,Missing Claim Amount,Critical,<blank>,111334.73,Restored the deterministic source amount
DQ-00272,CLM017750,Missing Claim Amount,Critical,<blank>,131796.23,Restored the deterministic source amount
DQ-00273,CLM010196,Missing Claim Amount,Critical,<blank>,123015.26,Restored the deterministic source amount
DQ-00274,CLM021503,Missing Claim Amount,Critical,<blank>,25030.24,Restored the deterministic source amount
DQ-00275,CLM051673,Missing Claim Amount,Critical,<blank>,27954.39,Restored the deterministic source amount
DQ-00276,CLM024148,Missing Claim Amount,Critical,<blank>,131631.7,Restored the deterministic source amount
DQ-00277,CLM027847,Missing Claim Amount,Critical,<blank>,34650.91,Restored the deterministic source amount
DQ-00278,CLM070730,Missing Claim Amount,Critical,<blank>,75222.25,Restored the deterministic source amount
DQ-00279,CLM045305,Missing Claim Amount,Critical,<blank>,52881.43,Restored the deterministic source amount
DQ-00280,CLM036277,Missing Claim Amount,Critical,<blank>,394851.99,Restored the deterministic source amount
DQ-00281,CLM019355,Missing Claim Amount,Critical,<blank>,90760.73,Restored the deterministic source amount
DQ-00282,CLM008193,Missing Claim Amount,Critical,<blank>,124486.02,Restored the deterministic source amount
DQ-00283,CLM053815,Missing Claim Amount,Critical,<blank>,40694.0,Restored the deterministic source amount
DQ-00284,CLM005011,Missing Claim Amount,Critical,<blank>,277668.52,Restored the deterministic source amount
